id,skill,skill_alias
511,Report Studio,ReportStudio;
512,ReportNet,CognosReportNet; Report Net;
513,Reports 10g,Reports10g;
514,Reports 6i,Reports6i
515,Reports 9i,Reports9i;
516,RHEL, 
517,RMAN, 
518,RMI,Remote Method Invocation; rmi-iiop; rmi/iiop;
519,RPG,Report Program Generator; RPG/400;
520,RS/6000,IBM RS6000;
521,RS232, 
522,RTX, 
523,Ruby,Ruby on Rails; Jruby; Ruby Rails; Rails; RoR;
524,RUP,Rational Unified Process;
525,Samba, 
526,SAML,Security Assertion Markup Language;
527,SAN,Storage Area Network;
528,SAP ABAP,SAP ABAP/4;
529,SAP AFS,SAP Apparel and Footwear Solution; SAP Apparel Footwear Solution;
530,SAP ALE,SAP-ALE;
531,SAP AM,SAP Asset Management;
532,SAP Analytics,SAPAnalytics;
533,SAP APO,SAP Advanced Planner Optimizer; SAP Advanced Planner and Optimizer;
534,SAP BASIS, 
535,SAP BI,SAP Business Intelligence;
536,SAP Business Analyst,SAP BusinessAnalyst; SAP/Business Analyst;
537,SAP BW,SAP Business Information Warehouse;
538,SAP CCM,SAP Catalog Content Management;
539,SAP CO,Controlling;
540,SAP Console,SAPConsole;
541,SAP CO-PA,SAP Profitability Analysis;
542,SAP CO-PC,SAP Product Cost Planning;
543,SAP CRM,SAP Customer Relationship Management;
544,SAP DBA,SAP Database Administrator; SAP Data base Administrator;
545,SAP EBP,SAP Enterprise Buyer Professional;
546,SAP ECC,SAP ERP Central Component; SAP Enterprise Resource Planning Central Component;
547,SAP Enterprise Learning, 
548,SAP EP,SAP Enterprise Portal;
549,SAP ERP,SAP Enterprise Resource Planning;
550,SAP FI,SAP Financial Accounting;
551,SAP FICO,SAP FI/CO; SAP FI-CO; SAP FI CO;SAP Financial and Controlling;
552,SAP Financials, 
553,SAP Functional Analyst, 
554,SAP Functional, 
555,SAP GUI,sapgui; SAP Graphical User Interface;
556,SAP HCM Functional,SAP Human Capital Management Functional;
557,SAP HCM,SAP Human Capital Management;
558,SAP HR,SAP Human Resources;
559,SAP HRMS,SAP Human Resource Management Systems;
560,SAP IM,SAP Inventory Management;
561,SAP ITS,SAP Internet Transaction Server;
562,SAP KW,SAP Knowledge Warehouse;
563,SAP LE,SAP Logistics Execution;
564,SAP LS, 
565,SAP Manufacturing, 
566,SAP MDM,SAP Master Data Management;
567,SAP MM,SAP Material Management; SAP Materials Management; SAPMM;
568,SAP Netweaver,SAP Net Weaver; Netweaver; Net Weaver; SAP NetWeaver Developer Studio;
569,SAP PE, 
570,SAP PI, 
571,SAP PLM,SAP Product Lifecycle Management; SAP Product Life Cycle Management; SAP/PLM;
572,SAP PM,SAP Plant Maintenance;
573,SAP Portal,SAP Portals;
574,SAP PP,SAP Production Planning;
575,SAP PP-PI,SAP Production Planning Process Industries;
576,SAP PS,SAP Project Sytstem;
577,SAP QM,SAP Quality Management;
578,SAP R/3,SAP R/3 Basis;
579,SAP R/5,SAPR/5;
580,SAP RE, 
581,SAP SCM,SAP Supply Chain Management;
582,SAP Script,SAPScripts; SAP Scripts; SAPScripts;
583,SAP SD Functional,SAP Sales and Distribution Functional;
584,SAP SD Technical,SAP Sales and Distribution Technical;
585,SAP SD,SAP Sales and Distribution; SAP Sales Distribution;
586,SAP Security,SAP-Security;
587,SAP SEM,SAP Strategic Enterprise Management;
588,SAP Server, 
589,SAP SRM,SAP Supplier Relationship Management;
590,SAP TDMS,SAP Test Data Migration Server;
591,SAP Technical, 
592,SAP TEM,SAP Training and Event Management;
593,SAP Tester,SAP Validation Engineer; SAP Validation Tester;
594,SAP WM,SAP Warehouse Management; SAP Ware House Management;
595,SAP XI,SAP Exchange Infrastructure;
596,SAP, 
597,SAS Clinical,Clinical SAS;
598,SAS Datasets,SAS Data Sets;
599,SAS Developer,SAS Analyst; SAS Programmer; SAS Consultant;
600,SAS Graph, 
601,LAMP, 
602,SAS Macro,SAS/Macro; SAS-Macros; SAS Macros;
603,SAS OLAP,SAS On line Analytical Process; SAS On line Analytical Processing; SAS Online Analytical Process; SAS Online Analytical Processing;
604,SAS SQL,SAS/SQL; SAS-SQL;
605,SAS Stat,SAS/STAT;
606,SAS, 
